product_id,product_name,brand_name,category_name,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD057a3e57,Original Soap & Glory The Righteous Butter Moisturising Body Lotion Pump,Original Soap,Body Butter,,,10.99,GBP,ebay - thatenglishgirl,original soap glory the righteous butter moisturising body lotion pump,original soap,body butter,No match >= threshold
PRD2bf7d521,Dr. Jeannette Graf Hyaluronic Skin Filler Body Butter,Dr. Jeannette,Body Butter,4.0,oz,17.81,GBP,ebay - evannasbeauty,dr jeannette graf hyaluronic skin filler body butter,dr jeannette,body butter,No match >= threshold
PRDeb51d39a,"Organic Shea Butter, Raw & Unrefined Shea Butters for Body, Face & Hair, Pure Shea Butter with vitamins A, E & F, Long-Lasting Hydration for Dry Skin",Organic Shea,Body Butter,,,9.99,GBP,amazon.co.uk - amazon.co.uk-seller,organic shea butter raw unrefined shea butters for body face hair pure shea butter with vitamins a e f long lasting hydration for dry skin,organic shea,body butter,No match >= threshold
PRD42e4d7b0,Body Prescriptions - Niacinamide & Vitamin C Body Butter,Body Prescriptions,Body Butter,550.0,ml,23.99,GBP,amazon.co.uk - amazon.co.uk-seller,body prescriptions niacinamide vitamin c body butter,body prescriptions,body butter,No match >= threshold
PRDa882c29b,Black Pearl Pure Collagen Body Butter,Black Pearl,Body Butter,200.0,ml,41.87,GBP,ebay - gabitatan18,black pearl pure collagen body butter,black pearl,body butter,No match >= threshold
PRD9121603a,Josie Maran Whipped Argan Oil Body Butter Apricot And Magnolia 4.6 Fl,Josie Maran,Body Butter,,,26.73,GBP,ebay - beauty4less70,josie maran whipped argan oil body butter apricot and magnolia 4 6 fl,josie maran,body butter,No match >= threshold
PRD5748515a,Josie Maran Whipped Argan Oil Body Butter Vanilla Apricot,Josie Maran,Body Butter,4.6,oz,22.23,GBP,ebay - jhm_cosmetics_n_stuff,josie maran whipped argan oil body butter vanilla apricot,josie maran,body butter,No match >= threshold
PRD2aab4030,Laura Mercier Body & Bath Ambre Vanille Body Butter /,Laura Mercier,Body Butter,175.0,ml,133.64,GBP,ebay,laura mercier body bath ambre vanille body butter ,laura mercier,body butter,No match >= threshold
PRDd940a2a5,Debenhams Butter Me Up Body Butter,Debenhams Butter,Body Butter,,,14.0,GBP,bellamianta,debenhams butter me up body butter,debenhams butter,body butter,No match >= threshold
PRD933bd80c,Elemis Frangipani Monoi Velvet Body Butter,Elemis Frangipani,Body Butter,100.0,ml,8.8,GBP,ebay - rmalthouse2012,elemis frangipani monoi velvet body butter,elemis frangipani,body butter,No match >= threshold
PRD5f6b112f,Body Boost Lavender Vanilla Stretch Mark Butter . Treat Stretch Marks and Scars,Body Boost,Body Butter,8.0,oz,25.98,GBP,gosupps beauty,body boost lavender vanilla stretch mark butter treat stretch marks and scars,body boost,body butter,No match >= threshold
PRDf40ee1de,The Moms Co Natural Body Butter,The Moms,Body Butter,,,9.09,GBP,herbkart.com,the moms co natural body butter,the moms,body butter,No match >= threshold
PRD02433fbc,Strawberry Body Butter,Strawberry Body,Body Butter,,,15.0,GBP,more bees please shop,strawberry body butter,strawberry body,body butter,No match >= threshold
PRD0c7331f4,Indulgent Body Butter Rose & Sandalwood,Indulgent Body,Body Butter,,,8.0,GBP,kindred earth,indulgent body butter rose sandalwood,indulgent body,body butter,No match >= threshold
PRDf6472e28,Palmer's Natural Vitamin E Body Butter,Palmer's Natural,Body Butter,,,22.27,GBP,gosupps beauty,palmer s natural vitamin e body butter,palmer s natural,body butter,No match >= threshold
PRD65a2d628,Neutrals Sweet Almond Body Butter | One Size | Manjeri Skincare,Neutrals Sweet,Body Butter,,,42.0,GBP,wolf & badger,neutrals sweet almond body butter one size manjeri skincare,neutrals sweet,body butter,No match >= threshold
PRD30aa3e75,NATURE WELL Shea Body Butter Variety Pack Includes Grapefruit,NATURE WELL,Body Butter,,,26.7,GBP,ebay - checkmystores,nature well shea body butter variety pack includes grapefruit,nature well,body butter,No match >= threshold
PRD9ccdc5a7,Robyn Parsons Collection Grapefruit/Mango Body Butter,Robyn Parsons,Body Butter,,,16.92,GBP,ebay - runwaybeautystore,robyn parsons collection grapefruit mango body butter,robyn parsons,body butter,No match >= threshold
PRD60fb88e0,Body Balm for Menopause Skin,Body Balm,Body Butter,,,24.0,GBP,organics.com,body balm for menopause skin,body balm,body butter,No match >= threshold
PRDc1a81682,Cocoa Butter & Shea Butter Moisturizing Cream for Face & Body,Cocoa Butter,Body Butter,500.0,g,5.99,GBP,amazon.co.uk - amazon.co.uk-seller,cocoa butter shea butter moisturizing cream for face body,cocoa butter,body butter,No match >= threshold
PRD6d6aa7db,Whipped Body Butter,Whipped Body,Body Butter,,,23.47,GBP,ebay,whipped body butter,whipped body,body butter,No match >= threshold
PRD17be8583,"Whipped Body Butters by So Sona Skincare - Made for Dry/Sensitive Skin, Vegan-Friendly",Whipped Body,Body Butter,,,59.99,GBP,so sona skincare,whipped body butters by so sona skincare made for dry sensitive skin vegan friendly,whipped body,body butter,No match >= threshold
PRD845a0d90,"Greenwich Bay African Violet Botanic Body Butter With Shea Butter, 8",Greenwich Bay,Body Butter,,,12.43,GBP,ebay - generous.spirit.gifts,greenwich bay african violet botanic body butter with shea butter 8,greenwich bay,body butter,No match >= threshold
PRDadd6abb6,Dyke & Dean Oatmeal Milk & Honey Body Butter,Dyke,Body Butter,,,12.95,GBP,dyke & dean,dyke dean oatmeal milk honey body butter,dyke,body butter,No match >= threshold
PRD52b8707e,Oshea Herbals Cocoa Butter Body Butter For Dry Itchy Skin,Oshea Herbals,Body Butter,,,23.6,GBP,ebay - saimbhi3464,oshea herbals cocoa butter body butter for dry itchy skin,oshea herbals,body butter,No match >= threshold
