product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,hybrid_name_similarity,lexical_similarity,semantic_similarity,brand_similarity,size_similarity,match_source,processing_date,engine_version,confidence_tier,match_rank
PRDdc78a78e,PRDf97f8370,Beauty of Joseon Revive Serum Mucin,Beauty of Joseon Light On Serum,Beauty,Beauty,Face Serum,,,,,16.97,14.39,GBP,GBP,Millies.ie,Superdrug.com,90.8,70.83,69.81,72.36,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRDdd76c9c5,PRD94df6e4e,Rainforest Revival Shampoo Bar Subscription,Shampoo Bar,Rainforest Revival,Shampoo Bar,Shampoo Bar,,,,,6.95,4.99,GBP,GBP,The Soap People,The Suffolk Soap Co.,61.0,,76.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,VERY_LOW,1
PRDdd85df46,PRD9f09222c,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &",Nature Triangle Usman Grass Shampoo Bar,Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,9.97,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,100.0,80.29,81.82,78.0,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRDdd85df46,PRD0d372918,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,11.88,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,100.0,81.03,75.65,89.1,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRDdd85df46,PRD4633f3ef,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, Usman Grass & Nature Seven Green Soap Solid Shampoo, Gentle Hair Cleansing & Strengthening for Women and Men (1)",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,9.98,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,95.8,75.79,68.84,86.23,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,2
PRDdd85df46,PRD64e43e15,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar - Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar For Hair Care & Hair Growth, Calming & Strengthens Hairs For",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,5.55,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,85.5,65.47,59.34,74.67,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,3
PRDdd85df46,PRDdb039b35,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()",Nature Triangle,Nature Triangle,Shampoo Bar,,,2.0,pcs,6.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,84.2,64.22,52.71,81.49,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,4
PRDdd85df46,PRD644540eb,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, 2025 New Nature Seven Green Shampoo, Natural Plant-Based Solid Shampoobar, Gentle Cleansing & Nourishing Care for",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,11.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,84.1,64.09,51.85,82.44,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,5
PRDdd85df46,PRD4d74acf3,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar,Natural Plant-Based Solid Shampoo,Nature Green Soap Shampoo,Cleansing & Nourishing Care for Healthy-Looking Hair ()",Nature Triangle,Nature Triangle,Shampoo Bar,,,2.0,pcs,6.99,8.87,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,81.7,61.67,51.62,76.74,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,6
PRDdd85df46,PRD83cc251e,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar: Nature Seven Green Shampoo Soap, Usman Grass Bar, for Women and Mens",Nature Triangle,,Shampoo Bar,,,2.0,pcs,6.99,12.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,81.3,81.29,75.69,89.7,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,7
