product_id,product_name,brand_id,category_id,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRDa52c4b6e,FFS Beauty Undo & Renew Eco Solid Shampoo Bar,BRD8ad6b83a,CAT4f1e3d60,,,3.95,GBP,amazon.co.uk - amazon.co.uk-seller,ffs beauty undo renew eco solid shampoo bar,brd8ad6b83a,cat4f1e3d60,No match >= threshold
PRDda0a46c8,"L'Oreal Paris Men Expert Barber Club Solid Shampoo And Wash Bar For Hair, Face, Beard And Body",BRD2d6145f0,CAT4f1e3d60,80.0,g,28.8,GBP,amazon.co.uk - amazon.co.uk-seller,l oreal paris men expert barber club solid shampoo and wash bar for hair face beard and body,brd2d6145f0,cat4f1e3d60,No match >= threshold
PRDda0a46c8,"L'Oreal Paris Men Expert Barber Club Solid Shampoo And Wash Bar For Hair, Face, Beard And Body",BRD2d6145f0,CAT4f1e3d60,80.0,g,28.8,GBP,amazon.co.uk - amazon.co.uk-seller,l oreal paris men expert barber club solid shampoo and wash bar for hair face beard and body,brd2d6145f0,cat4f1e3d60,No match >= threshold
PRDca37b098,"Nature Triangle Shampoo Bar, Natural Cypress Leaf Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair Vegan, for Hair Care for Women and Mens",BRDc360e6fd,CAT4f1e3d60,,,8.99,GBP,amazon.co.uk - amazon.co.uk-seller,nature triangle shampoo bar natural cypress leaf usman grass solid shampoo bar calming strengthens hair vegan for hair care for women and mens,brdc360e6fd,cat4f1e3d60,No match >= threshold
PRDca37b098,"Nature Triangle Shampoo Bar, Natural Cypress Leaf Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair Vegan, for Hair Care for Women and Mens",BRDc360e6fd,CAT4f1e3d60,,,8.99,GBP,amazon.co.uk - amazon.co.uk-seller,nature triangle shampoo bar natural cypress leaf usman grass solid shampoo bar calming strengthens hair vegan for hair care for women and mens,brdc360e6fd,cat4f1e3d60,No match >= threshold
PRD9afb4075,EcoLiving Ocean Breeze Shampoo Bar,BRD3db3379e,CAT4f1e3d60,,,2.33,GBP,regn,ecoliving ocean breeze shampoo bar,brd3db3379e,cat4f1e3d60,No match >= threshold
PRD52fad04d,Alter/Native Lavender and Geranium Shampoo Bar,BRD5d6a6f7b,CAT4f1e3d60,,,3.75,GBP,ethical superstore,alter native lavender and geranium shampoo bar,brd5d6a6f7b,cat4f1e3d60,No match >= threshold
PRD34ea7b7a,Paper Plane Solid Shampoo Bar,BRD78f095b5,CAT4f1e3d60,,,6.95,GBP,paper plane,paper plane solid shampoo bar,brd78f095b5,cat4f1e3d60,No match >= threshold
PRD2e32377b,Eco Wave Shampoo Bar Subscription,BRD51a31ea8,CAT4f1e3d60,,,6.95,GBP,the soap people,eco wave shampoo bar subscription,brd51a31ea8,cat4f1e3d60,No match >= threshold
PRDd39ffea1,Bounty Hunter Dry Damaged Hair Shampoo Bar,BRD77c998a0,CAT4f1e3d60,,,3.95,GBP,taos gifts,bounty hunter dry damaged hair shampoo bar,brd77c998a0,cat4f1e3d60,No match >= threshold
PRD0e3c7fdc,Eco Warrior Dry Hair Shampoo Bar (Case of 12),BRDf76fce2c,CAT4f1e3d60,100.0,g,52.8,GBP,little soap company,eco warrior dry hair shampoo bar case of 12 ,brdf76fce2c,cat4f1e3d60,No match >= threshold
PRDc212abe0,Foamie Hibiskiss Shampoo Bar,BRD699ac0d6,CAT4f1e3d60,,,6.99,GBP,amazon.co.uk - amazon.co.uk-seller,foamie hibiskiss shampoo bar,brd699ac0d6,cat4f1e3d60,No match >= threshold
PRDc212abe0,Foamie Hibiskiss Shampoo Bar,BRD699ac0d6,CAT4f1e3d60,,,6.99,GBP,amazon.co.uk - amazon.co.uk-seller,foamie hibiskiss shampoo bar,brd699ac0d6,cat4f1e3d60,No match >= threshold
PRDfe31d110,Alter/Native Rose & Geranium Shampoo Bar,BRD715cc145,CAT4f1e3d60,,,3.75,GBP,ethical superstore,alter native rose geranium shampoo bar,brd715cc145,cat4f1e3d60,No match >= threshold
PRDf52f358e,grüum Growth Shampoo Bar Prevents Hair Loss & Boosts Growth,,CAT4f1e3d60,,,12.0,GBP,grüum,gr um growth shampoo bar prevents hair loss boosts growth,none,cat4f1e3d60,No match >= threshold
PRD537412d6,KinKind Make Me Shine! Shampoo Bar,BRD4868ac26,CAT4f1e3d60,,,7.15,GBP,amazon.co.uk - amazon.co.uk-seller,kinkind make me shine shampoo bar,brd4868ac26,cat4f1e3d60,No match >= threshold
PRD537412d6,KinKind Make Me Shine! Shampoo Bar,BRD4868ac26,CAT4f1e3d60,,,5.45,GBP,ocado,kinkind make me shine shampoo bar,brd4868ac26,cat4f1e3d60,No match >= threshold
PRDb4b4d3db,Shampoo Bars Citrus,BRDf571eefe,CAT4f1e3d60,60.0,g,8.66,GBP,boozyshop,shampoo bars citrus,brdf571eefe,cat4f1e3d60,No match >= threshold
PRD3caca25d,Lemon & Rosemary Shampoo Bar,BRDff71ff25,CAT4f1e3d60,,,6.85,GBP,the dartmoor skincare company,lemon rosemary shampoo bar,brdff71ff25,cat4f1e3d60,No match >= threshold
PRD8becfca2,Chunky Shampoo Bar,BRD008ce5d1,CAT4f1e3d60,,,9.0,GBP,paper tiger,chunky shampoo bar,brd008ce5d1,cat4f1e3d60,No match >= threshold
PRDadf2e7de,Eco Living Shampoo Bar,BRDfec92d7f,CAT4f1e3d60,,,9.5,GBP,ecoliving,eco living shampoo bar,brdfec92d7f,cat4f1e3d60,No match >= threshold
PRD30970a99,Bare Bar Deep Sea Cleanse Shampoo Bar,BRD0f11defc,CAT4f1e3d60,,,10.0,GBP,bare bar,bare bar deep sea cleanse shampoo bar,brd0f11defc,cat4f1e3d60,No match >= threshold
PRD32014ad2,Balance for Fine Flyaway Hair Shampoo Bar with Tin,BRD99a808d8,CAT4f1e3d60,,,8.5,GBP,buddha & bubbles soap co,balance for fine flyaway hair shampoo bar with tin,brd99a808d8,cat4f1e3d60,No match >= threshold
PRD0ab75d56,Ethique Heali Kiwi Solid Shampoo for Touchy Scalps,BRDa4a6260d,CAT4f1e3d60,,,8.84,GBP,ebay,ethique heali kiwi solid shampoo for touchy scalps,brda4a6260d,cat4f1e3d60,No match >= threshold
PRD7e461e48,Fresh Cut Pine Shampoo Bar,BRD65d52af4,CAT4f1e3d60,,,10.0,GBP,bare bar,fresh cut pine shampoo bar,brd65d52af4,cat4f1e3d60,No match >= threshold
PRDc6b9f11d,Molten Lather Shampoo Bar,BRD700f7191,CAT4f1e3d60,,,10.0,GBP,bare bar,molten lather shampoo bar,brd700f7191,cat4f1e3d60,No match >= threshold
PRDe1d820f1,BALANCES Oil Control Shampoo Bar,BRDe7965c31,CAT4f1e3d60,,,12.0,GBP,grüum,balances oil control shampoo bar,brde7965c31,cat4f1e3d60,No match >= threshold
PRD027ec32b,KinKind Fragrance Free Shampoo Bar,BRD1111c023,CAT4f1e3d60,,,6.09,GBP,plantx uk,kinkind fragrance free shampoo bar,brd1111c023,cat4f1e3d60,No match >= threshold
PRD66e056dc,Skoon Shampoo Bar Hydrating Power,BRD7a0f2ca5,CAT4f1e3d60,,,6.75,GBP,healthstuff,skoon shampoo bar hydrating power,brd7a0f2ca5,cat4f1e3d60,No match >= threshold
PRD7709ba17,Castle of Wishes Shampoo Bar Starter Set,BRD11081b0c,CAT4f1e3d60,,,6.5,GBP,the soap sisters,castle of wishes shampoo bar starter set,brd11081b0c,cat4f1e3d60,No match >= threshold
PRD2a432b3b,Ethique Professor Curl Solid Shampoo for Curly Hair,BRDf101ac0c,CAT4f1e3d60,108.0,g,3.55,GBP,ebay - mastersconi,ethique professor curl solid shampoo for curly hair,brdf101ac0c,cat4f1e3d60,No match >= threshold
PRD5c5ab1fe,Perfectly Balanced Shampoo Bar for Oily Hair,BRD1c7383c5,CAT4f1e3d60,,,13.5,GBP,an'du,perfectly balanced shampoo bar for oily hair,brd1c7383c5,cat4f1e3d60,No match >= threshold
PRD56624ce7,Natural Dandruff-Prone Hair Shampoo Bar,BRDcf75a4df,CAT4f1e3d60,,,8.0,GBP,silktown soap co.,natural dandruff prone hair shampoo bar,brdcf75a4df,cat4f1e3d60,No match >= threshold
PRD56624ce7,Natural Dandruff-Prone Hair Shampoo Bar,BRDcf75a4df,CAT4f1e3d60,,,8.0,GBP,silktown soap co.,natural dandruff prone hair shampoo bar,brdcf75a4df,cat4f1e3d60,No match >= threshold
PRD1ea96a21,Balancing Shampoo Bar | Hair | WiDEYE,BRD1529d26e,CAT4f1e3d60,,,6.95,GBP,wideye.co.uk,balancing shampoo bar hair wideye,brd1529d26e,cat4f1e3d60,No match >= threshold
PRDd0d7d496,Back to Basics Shampoo Bar,BRD0557fa92,CAT4f1e3d60,,,12.9,GBP,an'du,back to basics shampoo bar,brd0557fa92,cat4f1e3d60,No match >= threshold
PRD4f5370bf,Shampoo Bar - Orange & Bergamot - Oily Hair - Travel Size,BRD4f1e3d60,CAT4f1e3d60,28.0,g,3.2,GBP,peace with the wild,shampoo bar orange bergamot oily hair travel size,brd4f1e3d60,cat4f1e3d60,No match >= threshold
PRDdfeb5663,Ecoliving Coconutty Shampoo Bar,BRD7dcfe31d,CAT4f1e3d60,,,9.5,GBP,peace with the wild,ecoliving coconutty shampoo bar,brd7dcfe31d,cat4f1e3d60,No match >= threshold
PRD01565f3f,LemonGrass Solid Shampoo Bar,BRD780a2fb7,CAT4f1e3d60,,,4.99,GBP,amazon.co.uk - amazon.co.uk-seller,lemongrass solid shampoo bar,brd780a2fb7,cat4f1e3d60,No match >= threshold
