product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRD05a78c1c,PRDc9b3c65a,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,Anihana Conditioner Bar Lavender & Lemon,,Anihana Conditioner,Conditioner Bar,60.0,g,60.0,g,114.93,6.0,GBP,GBP,eBay,HealthPost.co.nz,76.2,56.15,50.0,100.0
PRD1f1b0352,PRD5c42e109,"Coconut Conditioner Bar - Rich Nourishing & Volumizing - Hair Moisturizing & Strengthening Solid Soap Bar, Plastic-Free, Silicone & Sulfate Free",Coconut Conditioner Bar,Coconut Conditioner,Coconut Conditioner,Conditioner Bar,,,,,18.55,3.0,GBP,GBP,Snapklik.com,Independent Design Collective,88.0,68.0,100.0,50.0
PRD1f1b0352,PRD5c42e109,"Coconut Conditioner Bar - Rich Nourishing & Volumizing - Hair Moisturizing & Strengthening Solid Soap Bar, Plastic-Free, Silicone & Sulfate Free",Coconut Conditioner Bar,Coconut Conditioner,Coconut Conditioner,Conditioner Bar,,,,,18.55,5.25,GBP,GBP,Snapklik.com,Superfly Soap,88.0,68.0,100.0,50.0
PRD23f40b89,PRD24781688,Kitsch Castor Oil Nourishing Conditioner Bar,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,12.0,11.0,GBP,GBP,Next,Kitsch,84.0,64.03,100.0,50.0
PRD23f40b89,PRD2c4133ca,Kitsch Castor Oil Nourishing Conditioner Bar,alott - nourishing conditioner bar,Kitsch,,Conditioner Bar,,,,,12.0,16.0,GBP,GBP,Next,Jjungl,70.9,70.94,50.0,50.0
PRD23f40b89,PRD5b6320ff,Kitsch Castor Oil Nourishing Conditioner Bar,Kitsch Shea Butter Hydrating Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,12.0,8.9,GBP,GBP,Next,eBay,75.6,55.61,100.0,50.0
PRD23f40b89,PRD843209ee,Kitsch Castor Oil Nourishing Conditioner Bar,Kitsch Ultra Sensitive Conditioner & Shave Bar,Kitsch,Kitsch,Conditioner Bar,,,,,12.0,11.0,GBP,GBP,Next,Kitsch,74.2,54.24,100.0,50.0
PRD23f40b89,PRDc6b2dce0,Kitsch Castor Oil Nourishing Conditioner Bar,Kitsch Rice Water Protein Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,12.0,8.44,GBP,GBP,Next,Amazon.co.uk - Amazon.co.uk-Seller,75.2,55.24,100.0,50.0
PRD24781688,PRD5b6320ff,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch Shea Butter Hydrating Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,11.0,8.9,GBP,GBP,Kitsch,eBay,72.0,52.0,100.0,50.0
PRD24781688,PRD843209ee,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch Ultra Sensitive Conditioner & Shave Bar,Kitsch,Kitsch,Conditioner Bar,,,,,11.0,11.0,GBP,GBP,Kitsch,Kitsch,72.0,52.0,100.0,50.0
PRD24781688,PRDc6b2dce0,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch Rice Water Protein Conditioner Bar,Kitsch,Kitsch,Conditioner Bar,,,,,11.0,8.44,GBP,GBP,Kitsch,Amazon.co.uk - Amazon.co.uk-Seller,73.9,53.9,100.0,50.0
PRD24781688,PRDf57f1fc4,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch Strengthening Hair Conditioner Bar with Rice Water Protein | Made in US | Eco-Friendly Cleansing and Moisturizing,Kitsch,Kitsch,Conditioner Bar,,,,,11.0,21.01,GBP,GBP,Kitsch,OnBuy.com,76.3,56.28,100.0,50.0
PRD24f16863,PRD28257c33,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Friendly Soap Conditioner Bar - Lavender & Tea Tree,Friendly Soap,Friendly Soap,Conditioner Bar,,,90.0,g,8.99,33.22,GBP,GBP,REGN,eBay - gudz_uk,83.6,63.57,100.0,50.0
PRD24f16863,PRD392d044d,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Friendly Soap Lavender Tea Tree Conditioner Bar,Friendly Soap,Friendly Soap,Conditioner Bar,,,,,8.99,9.62,GBP,GBP,REGN,Amazon.co.uk - Amazon.co.uk-Seller,83.6,63.57,100.0,50.0
PRD24f16863,PRD99303b82,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Conditioner Bar - - Lavender & Geranium | Friendly Soap,Friendly Soap,Friendly Soap,Conditioner Bar,,,12.0,pack,8.99,91.7,GBP,GBP,REGN,Friendly Soap,85.8,65.79,100.0,50.0
PRD24f16863,PRD9e61c9a7,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Friendly Soap Lavender & Geranium Conditioner Bar,Friendly Soap,Friendly Soap,Conditioner Bar,,,,,8.99,8.99,GBP,GBP,REGN,C & G Natural Beauty Shop,85.8,65.79,100.0,50.0
PRD24f16863,PRDa1991032,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Friendly Soap Conditioner Bar - Fragrance-free,Friendly Soap,Friendly Soap,Conditioner Bar,,,90.0,g,8.99,33.22,GBP,GBP,REGN,eBay - gudz_uk,87.7,67.67,100.0,50.0
