retailer_id,source_id,retailer_name
RET0252d008,SRC00000001,"{'url': 'https://www.luminskin.com/products/deep-cleanse-shampoo-bar-deep-cleanse-scrub-body-bar?variant=40877674856484&country=GB&lang=en&view=google_listing', 'name': 'Lumin'}"
RET02602ae6,SRC00000001,"{'url': 'https://www.boots.com/the-ordinary-hyaluronic-acid-2-and-b5-30ml-10339794?srsltid=AfmBOoo9JZifXGQ-S1eZK6n8sLFvoVePuj46BOXuPIc6rAiIBVr4H7u87sg', 'name': 'Boots.com'}"
RET0268c182,SRC00000001,TJC
RET0274b852,SRC00000001,eBay - goldenwings
RET0276ac04,SRC00000001,"{'url': 'https://www.onbuy.com/gb/p/mcaffeine-coffee-body-butter-berries-for-unisex-35-oz-moisturizer~p128699964/?exta=gshp&extac=gshpfa', 'name': 'OnBuy.com'}"
RET027cd260,SRC00000001,"{'url': 'https://mintdbox.com/products/mz-skin-hyaluronic-hydrating-serum?variant=44330050912565&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorYVpwShNozXF06FeEqbIXkFat-PRH7EpUHXaudqvqkSrJkRY6bqQU', 'name': 'mintdbox.com'}"
RET0285aee9,SRC00000001,"{'url': 'https://www.cotswoldhandmadesoap.co.uk/product/vegan-conditioner-bar-lavender-and-cedarwood/', 'name': 'Cotswold Handmade Soap'}"
RET02a7b63e,SRC00000001,"{'url': 'https://ellenconlinhair.myshopify.com/products/medik8-intelligent-retinol?variant=42773187690731&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoruExSByB9Qp8wC9ggnqz_Tzc-yqVe0gzRSpIesTVLhaJofBNn45K8', 'name': 'Ellen Conlin Hair and Beauty'}"
RET02b3ac73,SRC00000001,eBay - beauty-hub
RET02c15814,SRC00000001,"{'url': 'https://www.etsy.com/uk/listing/1198707499/lavender-oatmeal-whipped-body-butter?gpla=1&gao=1&', 'name': 'Etsy'}"
RET02c365b6,SRC00000001,"{'url': 'https://moogooskincare.co.uk/products/hyaluronic-acid-niacinamide-active-serum-25ml?variant=45272368415006&utm_source=google&utm_medium=cpc&utm_content=Hyaluronic+Acid+and+Niacinamide+Active+Serum+25ml&srsltid=AfmBOopv15cn6MX-NqDvnAP1lt74BsoMZcuK4YUc1bNT9naO6kJk8JOyO-c', 'name': 'MooGoo Skin Care UK'}"
RET02c50f37,SRC00000001,"{'url': 'https://www.onbuy.com/gb/p/soapfactory-ayurveda-solid-shampoo-bar-with-castor-oil-for-hair-growth-ayurvedic-organic-hair-soap-for-men-and-women-100-natural-vegan-3-ounce~p117126173/?exta=gshp&extac=gshpfa', 'name': 'OnBuy.com'}"
RET02f48f0d,SRC00000001,{'name': 'Posh Soaps'}
RET02fc3363,SRC00000001,"{'url': 'https://anthony.co.uk/products/high-performance-vitamin-c-facial-serum?variant=44258643706172&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopNrZPYDDZOGQnOtJosu8TG1bfUmZvlCQT0S1FfT31TACb5sjBaglU', 'name': 'Anthony UK'}"
RET031b9b66,SRC00000001,"{'url': 'https://www.bio-naturel.de/sanoll-koerperbutter-shea-vanille/?channable=043cfe69640053412d31333331306c&number=SA-13310&sPartner=300300&utm_source=google&utm_medium=pla&utm_campaign=gsp&srsltid=AfmBOoqh4CybeO97-o4Z-MZXXvKn_go-fz40F_8Xr3HutmUdN1b9MV0iCoo', 'name': 'bio-naturel.de'}"
RET03279fe3,SRC00000001,"{'url': 'https://biogo.de/en/products/nacomi-mango-erdbeer-korperbutter-100-ml?variant=50441871262038&utm_source=google&utm_medium=organic&utm_campaign=English_EURO&utm_content=Nacomi%20Mango-Erdbeer-K%C3%B6rperbutter%20100%20ml&srsltid=AfmBOorqrUM7jqcVL2ndbr6tsYpf63ZpCi7pnEJflAMAVAgJn-t4WP4HOaI', 'name': 'biogo.de'}"
RET0332dbf5,SRC00000001,"{'url': 'https://plasticfreedom.co.uk/products/kinkind-purple-conditioner-bar-50g-for-blonde-hair?variant=55815899808122&srsltid=AfmBOooN4-mwpeTUFOiD_mX7TwYu2as2VPJPVaCLaVa7ojBSNittZxgb4kE', 'name': 'Plastic Freedom'}"
RET035062b2,SRC00000001,{'name': 'Face Dr'}
RET03790b1a,SRC00000001,"{'url': 'https://windymill.co.uk/products/conditioner-bar', 'name': 'windymill.co.uk'}"
RET038bb057,SRC00000001,"{'url': 'https://soulandsoap.co.uk/products/tropical-mango-solid-shampoo-bar?variant=32391040073815&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop-hw5E2fK7CvKyiw0uoQdOrQLeJPhi1wO7vFT6VBnwGnnIdhBukUI', 'name': 'Soul and Soap'}"
RET03a4251b,SRC00000001,"{'url': 'https://www.dior.com/en_gb/beauty/products/one-essential-skin-boosting-super-serum-F072532000.html?srsltid=AfmBOoquJrAHRwsllDFxmpRkcAjw3_5WxmBygQNECwTiHTPvxbYd1pEe2ao', 'name': 'DIOR'}"
RET03b0dd41,SRC00000001,"{'url': 'https://pamperedbluebee.co.uk/products/rosemary-lime-solid-conditioner-bar?variant=44049610703039&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopJjqDaPTjXuL4tu6KLcEHzrHYf4oZ1Y0A25PmEM-uhBVSYThdiIYE', 'name': 'The Pampered Blue Bee'}"
RET03b6c907,SRC00000001,"{'url': 'https://www.pakcosmetics.com/brand/hollywood-beauty/hollywood-beauty/hollywood-beauty-vanilla-body-butter-with-shea-butter.html?pscid=22464&srsltid=AfmBOorHcqdND8RQ9lMIkBk9CjvKeYA4UI6JxW4NvU85YKPJbwPt8IsAHiA', 'name': 'Pak Cosmetic Centre'}"
RET03d2a85e,SRC00000001,"{'url': 'https://itasnaturalessentials.com/products/vital-flow-conditioner-bar-hydration-and-definition-for-curls-and-dry-hair-hydrating-curl-defining-frizz-control?variant=54960905814392&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoob4NGq9ziNC1WtoccPGkqEAsLctdqofc_pXOZC1F8gvWJeVEu4QBs', 'name': ""Ita's Natural Essentials""}"
RET03d31673,SRC00000001,"{'url': 'https://parfumeriedusoleildor.com/en-intl/products/densifiance-serum-30ml?variant=50794859790663&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqkx8IgD5SXnC6V16-gfA1jQRw9TMWljDF2gprC-quEy_NxYxF38QE', 'name': ""Le Soleil d' Or""}"
RET041c8d71,SRC00000001,"{'url': 'https://www.gosupps.com/la-roche-posay-hyalu-b5-skin-serum-plumping-repairing-10-ml-meet-size-roller-face-massager.html', 'name': 'GoSupps Beauty'}"
RET042b669b,SRC00000001,"{'url': 'https://www.gosupps.com/youth-to-the-people-15-vitamin-c-caffeine-energy-brightening-serum-for-uneven-tone-1-oz-30-ml.html', 'name': 'GoSupps Beauty'}"
RET04354d1a,SRC00000001,"{'url': 'https://www.lookfantastic.com/p/the-white-company-seychelles-body-butter-200ml/15660519/?affil=thggps&switchcurrency=GBP&shippingcountry=GB&srsltid=AfmBOopFdOmUZBoVc74ih-gk-3Z_4d88LN7bn1vOBQrYYUlZAHai-6iDoj0', 'name': 'LOOKFANTASTIC'}"
RET045ec562,SRC00000001,"{'url': 'https://www.gosupps.com/hibar-conditioner-bar-all-natural-hair-care-plastic-free-made-with-eco-friendly-ingredients-travel-size-color-safe-solid-sustainable-bars-zero-waste-soothe-soothe-for-itchy-flaky-scalp.html', 'name': 'GoSupps Beauty'}"
RET0463810d,SRC00000001,{'name': 'Battle Green'}
RET0469dc71,SRC00000001,No7 Beauty
RET046a8e75,SRC00000001,"{'url': 'https://ziajaonline.co.uk/products/ziaja-goat-s-milk-body-butter?variant=31069951328298&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor-pzgVEhwR_hINWiyOLssNv0uv3t4Smk1kCJyL9u9ZEECoQ8ua7PU', 'name': 'Ziaja Online'}"
RET046e7266,SRC00000001,"{'url': 'https://www.lush.com/uk/en/p/creamy-candy-body-butter?srsltid=AfmBOoppztrUJzjOBo-4j9PoGkHpow0mFcZDjXlzUpwhyndVImx3YeJtGD0', 'name': 'LUSH'}"
RET04747e17,SRC00000001,"{'url': 'https://www.amazon.co.uk/Organic-Shop-Moisturising-Serum-Apricot/dp/B0B1QVQ8QB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3P5ROKL5A1OLE', 'name': 'Amazon.co.uk'}"
RET047ec7f3,SRC00000001,"{'url': 'https://cosmeticsonline.ie/products/alpha-h-vitamin-b-serum-25ml?variant=49924766073165&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqNVZ6LrExPdLiB3ZpccQMQPydsuXCIe3oNj7s67O5tHAVI6eFmIQE', 'name': 'Cosmetics Online IE'}"
RET0481b286,SRC00000001,"{'url': 'https://www.cosmetify.com/la-mer-serums-the-regenerating-serum/?vf=5002329&srsltid=AfmBOorxjbZgrC4NNFrzuo9B_Lm6zM2hLyWE42zl62zWjPyymuVU2wLl-NQ', 'name': 'Cosmetify'}"
RET048ccc30,SRC00000001,Okiki Skincare
RET049172ed,SRC00000001,"{'url': 'https://www.pentlandaromatics.com/products/new-conditioner-bars?variant=56446897684867&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqSZYSvvQxUKHHLyOgz7jGSycqYncq6-X0mGETm41qpBz8x9ahIGO0', 'name': 'Pentland Aromatics'}"
RET04a0e351,SRC00000001,Olive Young Global
RET04a6ee49,SRC00000001,"{'url': 'https://www.superdrug.com/skin/face-skin-care/face-serums/simple-hydrate-3-hyaluronic-acid-vitamin-b5-serum-30-ml/p/828393', 'name': 'Superdrug.com'}"
